date,sp500,dividend,earnings,consumer_price_index,long_interest_rate,real_price,real_dividend,real_earnings,pe10
2010-11-01,1198.89,22.6,75.52,218.8,2.76,1317.51,24.84,82.99,21.7
2010-12-01,1241.53,22.73,77.35,219.18,3.29,1362.03,24.94,84.86,22.4
2011-01-01,1282.62,22.96,78.67,220.22,3.39,1400.43,25.07,85.9,22.98
2011-02-01,1321.12,23.2,79.99,221.31,3.58,1435.39,25.2,86.91,23.49
2011-03-01,1304.49,23.43,81.31,223.47,3.41,1403.64,25.21,87.49,22.9
2011-04-01,1331.51,23.73,82.16,224.91,3.46,1423.54,25.37,87.84,23.14
2011-05-01,1338.31,24.04,83.02,225.96,3.17,1424.11,25.58,88.34,23.06
2011-06-01,1287.29,24.34,83.87,225.72,3.0,1371.29,25.93,89.34,22.1
2011-07-01,1325.19,24.62,84.91,225.92,3.0,1410.42,26.2,90.37,22.61
2011-08-01,1185.31,24.9,85.94,226.54,2.3,1258.07,26.43,91.22,20.05
2011-09-01,1173.88,25.18,86.98,226.89,1.98,1244.05,26.69,92.18,19.7
2011-10-01,1207.22,25.6,86.97,226.42,2.15,1282.03,27.18,92.36,20.16
2011-11-01,1226.42,26.01,86.96,226.23,2.01,1303.52,27.65,92.43,20.35
2011-12-01,1243.32,26.43,86.95,225.67,1.98,1324.75,28.16,92.64,20.52
2012-01-01,1300.58,26.74,87.48,226.66,1.97,1379.69,28.36,92.8,21.21
2012-02-01,1352.49,27.04,88.01,227.66,1.97,1428.46,28.56,92.95,21.8
2012-03-01,1389.24,27.35,88.54,229.39,2.17,1456.22,28.67,92.81,22.05
2012-04-01,1386.43,27.67,88.33,230.09,2.05,1448.9,28.92,92.31,21.78
2012-05-01,1341.27,28.0,88.13,229.81,1.8,1403.35,29.29,92.21,20.94
2012-06-01,1323.48,28.32,87.92,229.48,1.62,1386.77,29.67,92.12,20.55
2012-07-01,1359.78,28.74,87.45,229.1,1.53,1427.13,30.17,91.78,21.0
2012-08-01,1403.45,29.17,86.97,230.38,1.68,1464.81,30.44,90.78,21.41
2012-09-01,1443.42,29.59,86.5,231.41,1.72,1499.84,30.75,89.88,21.78
2012-10-01,1437.82,30.14,86.5,231.32,1.75,1494.6,31.33,89.92,21.58
2012-11-01,1394.51,30.7,86.51,230.22,1.65,1456.48,32.06,90.35,20.9
2012-12-01,1422.29,31.25,86.51,229.6,1.72,1489.5,32.73,90.6,21.24
2013-01-01,1480.4,31.54,86.91,230.28,1.91,1545.79,32.93,90.75,21.9
