date,total_unemployed,high_school_grad_25,white,med_duration_unemploy,not_in_labor_wants_job,unemploy_marginally_attached,less_than_high_school_25,hispanic,asian,more_than_15_weeks,not_in_labor_searched_for_work,16_to_19,black,multi_jobs,leavers,losers
2010-11-01,16.9,10.0,8.9,21.0,6182,11.2,15.4,12.9,7.6,8696,2531,24.8,16.2,6708,5.7,63.0
2010-12-01,16.6,9.8,8.5,21.9,6431,10.9,15.0,12.9,7.2,8549,2609,25.3,15.5,6899,6.4,61.2
2011-01-01,16.2,9.5,8.1,21.5,6472,10.8,14.3,12.3,6.9,8393,2800,25.7,15.8,6816,6.5,60.1
2011-02-01,16.0,9.7,8.1,21.1,6390,10.6,14.0,11.8,6.8,8175,2730,24.1,15.5,6741,6.4,60.2
2011-03-01,15.9,9.7,8.0,21.5,6527,10.4,14.1,11.6,7.1,8166,2434,24.4,15.8,6735,6.4,60.3
2011-04-01,16.1,9.9,8.1,20.9,6537,10.5,14.7,11.9,6.4,8016,2466,24.7,16.5,6823,6.8,59.4
2011-05-01,15.8,9.6,7.9,21.6,6289,10.3,14.5,11.6,7.0,8205,2206,23.9,16.3,6880,6.6,60.0
2011-06-01,16.1,10.0,8.1,22.4,6519,10.7,14.4,11.5,6.8,8143,2680,24.5,16.2,6946,7.0,58.8
2011-07-01,15.9,9.1,8.0,22.0,6513,10.6,14.5,11.2,7.7,8177,2785,24.7,15.9,6850,6.8,59.2
2011-08-01,16.1,9.3,7.9,22.4,6463,10.5,14.1,11.2,7.1,8247,2575,25.0,16.4,6940,7.1,58.2
2011-09-01,16.4,9.4,7.9,22.0,6262,10.5,14.3,11.2,7.8,8316,2511,24.4,15.9,6995,7.0,58.0
2011-10-01,15.8,9.4,7.9,20.6,6384,10.3,13.5,11.3,7.3,7802,2555,24.2,14.6,6917,8.0,57.9
2011-11-01,15.5,8.8,7.7,20.8,6538,10.1,12.8,11.2,6.5,7706,2591,24.2,15.6,6946,7.6,57.5
2011-12-01,15.2,8.7,7.5,20.5,6323,10.0,13.7,11.1,6.8,7545,2540,23.3,15.4,6977,7.2,57.5
2012-01-01,15.2,8.5,7.4,20.8,6343,9.9,13.0,10.7,6.7,7433,2809,23.6,13.6,7022,7.4,57.1
2012-02-01,15.0,8.3,7.4,19.7,6335,9.8,13.1,10.9,6.3,7293,2608,23.8,14.0,6966,8.0,55.4
2012-03-01,14.5,8.1,7.3,19.2,6302,9.6,12.8,10.6,6.2,7176,2352,24.8,14.0,6954,8.6,55.0
2012-04-01,14.6,8.0,7.4,19.1,6426,9.6,12.5,10.3,5.2,7072,2363,25.0,13.3,6903,8.0,54.2
2012-05-01,14.7,8.3,7.4,19.9,6309,9.6,12.9,10.9,5.2,7091,2423,24.4,13.5,6980,7.1,55.3
2012-06-01,14.8,8.6,7.3,20.4,6564,9.6,12.6,10.9,6.3,7227,2483,23.3,14.5,6804,7.3,56.2
2012-07-01,14.8,8.5,7.3,17.5,6516,9.6,12.4,10.2,6.2,6983,2529,23.6,14.2,6916,6.9,56.2
